SOC,OCV
0.16803,3.4015
0.16823,3.4017
0.16843,3.4021
0.16863,3.4023
0.16883,3.4026
0.16903,3.4029
0.16923,3.4032
0.16943,3.4035
0.16963,3.4038
0.16983,3.4041
0.17003,3.4044
0.17023,3.4047
0.17043,3.4049
0.17063,3.4052
0.17083,3.4055
0.17103,3.4058
0.17123,3.4061
0.17143,3.4063
0.17163,3.4066
0.17183,3.4069
0.17203,3.4072
0.17223,3.4075
0.17243,3.4078
0.17263,3.408
0.17283,3.4083
0.17303,3.4086
0.17323,3.4089
0.17343,3.4091
0.17363,3.4094
0.17383,3.4097
0.17403,3.4099
0.17423,3.4102
0.17443,3.4105
0.17463,3.4108
0.17483,3.411
0.17504,3.4113
0.17524,3.4116
0.17544,3.4118
0.17564,3.4121
0.17584,3.4124
0.17604,3.4127
0.17624,3.4129
0.17644,3.4132
0.17664,3.4134
0.17684,3.4137
0.17704,3.4139
0.17724,3.4142
0.17744,3.4145
0.17764,3.4148
0.17784,3.415
0.17804,3.4153
0.17824,3.4155
0.17844,3.4158
0.17864,3.4161
0.17884,3.4163
0.17904,3.4166
0.17924,3.4168
0.17944,3.4171
0.17964,3.4173
0.17984,3.4176
0.18004,3.4178
0.18024,3.4181
0.18044,3.4183
0.18064,3.4186
0.18084,3.4188
0.18104,3.4191
0.18124,3.4193
0.18144,3.4196
0.18164,3.4198
0.18184,3.4201
0.18204,3.4203
0.18224,3.4206
0.18244,3.4208
0.18264,3.4211
0.18284,3.4213
0.18304,3.4216
0.18324,3.4218
0.18344,3.422
0.18364,3.4223
0.18384,3.4225
0.18404,3.4228
0.18424,3.423
0.18444,3.4233
0.18464,3.4235
0.18484,3.4238
0.18504,3.424
0.18524,3.4242
0.18544,3.4244
0.18564,3.4247
0.18584,3.4249
0.18604,3.4252
0.18624,3.4255
0.18644,3.4257
0.18664,3.4259
0.18684,3.4262
0.18704,3.4264
0.18724,3.4266
0.18744,3.4269
0.18764,3.4271
0.18784,3.4273
0.18804,3.4276
0.18824,3.4278
0.18844,3.428
0.18864,3.4283
0.18884,3.4285
0.18904,3.4288
0.18924,3.429
0.18944,3.4292
0.18964,3.4295
0.18984,3.4297
0.19004,3.4299
0.19024,3.4302
0.19044,3.4304
0.19064,3.4306
0.19084,3.4308
0.19104,3.4311
0.19124,3.4313
0.19144,3.4316
0.19164,3.4318
0.19184,3.432
0.19204,3.4322
0.19224,3.4324
0.19244,3.4327
0.19264,3.4329
0.19284,3.4331
0.19304,3.4334
0.19324,3.4336
0.19344,3.4339
0.19364,3.4341
0.19384,3.4343
0.19404,3.4345
0.19424,3.4348
0.19444,3.435
0.19464,3.4352
0.19484,3.4354
0.19504,3.4357
0.19524,3.4359
0.19544,3.4361
0.19564,3.4364
0.19584,3.4366
0.19604,3.4368
0.19624,3.437
0.19644,3.4372
0.19664,3.4375
0.19684,3.4377
0.19704,3.4379
0.19724,3.4382
0.19744,3.4384
0.19764,3.4386
0.19784,3.4388
0.19804,3.439
0.19824,3.4393
0.19844,3.4395
0.19864,3.4398
0.19884,3.4399
0.19904,3.4402
0.19924,3.4404
0.19944,3.4406
0.19964,3.4408
0.19984,3.4411
0.20004,3.4413
0.20024,3.4415
0.20044,3.4418
0.20064,3.442
0.20084,3.4422
0.20104,3.4424
0.20124,3.4427
0.20144,3.4429
0.20164,3.4431
0.20184,3.4433
0.20204,3.4436
0.20224,3.4438
0.20244,3.444
0.20264,3.4442
0.20284,3.4444
0.20304,3.4446
0.20324,3.4449
0.20344,3.4451
0.20364,3.4454
0.20384,3.4456
0.20404,3.4458
0.20424,3.446
0.20444,3.4462
0.20464,3.4464
0.20484,3.4467
0.20504,3.4469
0.20524,3.4471
0.20544,3.4473
0.20564,3.4476
0.20584,3.4478
0.20604,3.448
0.20624,3.4482
0.20644,3.4484
0.20664,3.4487
0.20684,3.4489
0.20704,3.4491
0.20724,3.4493
0.20744,3.4495
0.20764,3.4498
0.20784,3.45
0.20804,3.4502
0.20824,3.4505
0.20844,3.4506
0.20864,3.4509
0.20884,3.4511
0.20904,3.4513
0.20924,3.4515
0.20944,3.4517
0.20964,3.452
0.20984,3.4522
0.21004,3.4525
0.21024,3.4526
0.21044,3.4529
0.21064,3.4531
0.21084,3.4533
0.21104,3.4535
0.21124,3.4537
0.21144,3.454
0.21164,3.4542
0.21184,3.4544
0.21204,3.4546
0.21224,3.4548
0.21244,3.4551
0.21264,3.4553
0.21284,3.4555
0.21304,3.4558
0.21324,3.4559
0.21344,3.4561
0.21364,3.4564
0.21384,3.4566
0.21404,3.4568
0.21424,3.4571
0.21444,3.4573
0.21464,3.4574
0.21484,3.4577
0.21504,3.4579
0.21524,3.4581
0.21544,3.4584
0.21564,3.4586
0.21584,3.4587
0.21604,3.459
0.21624,3.4592
0.21644,3.4594
0.21664,3.4597
0.21684,3.4598
0.21704,3.4601
0.21724,3.4603
0.21744,3.4605
0.21764,3.4607
0.21784,3.4609
0.21804,3.4611
0.21824,3.4613
0.21844,3.4616
0.21864,3.4618
0.21884,3.462
0.21904,3.4622
0.21924,3.4624
0.21944,3.4626
0.21964,3.4628
0.21984,3.4631
0.22004,3.4633
0.22024,3.4635
0.22044,3.4637
0.22064,3.4639
0.22084,3.4641
0.22104,3.4643
0.22124,3.4645
0.22144,3.4647
0.22164,3.4649
0.22184,3.4651
0.22204,3.4654
0.22224,3.4655
0.22244,3.4658
0.22264,3.466
0.22284,3.4662
0.22304,3.4664
0.22324,3.4666
0.22344,3.4668
0.22364,3.467
0.22384,3.4672
0.22404,3.4674
0.22424,3.4676
0.22444,3.4679
0.22464,3.468
0.22484,3.4682
0.22505,3.4685
0.22525,3.4687
0.22545,3.4688
0.22565,3.469
0.22585,3.4693
0.22605,3.4694
0.22625,3.4697
0.22645,3.4699
0.22665,3.4701
0.22685,3.4703
0.22705,3.4704
0.22725,3.4707
0.22745,3.4709
0.22765,3.4711
0.22785,3.4712
0.22805,3.4714
0.22825,3.4716
0.22845,3.4718
0.22865,3.472
0.22885,3.4722
0.22905,3.4725
0.22925,3.4726
0.22945,3.4728
0.22965,3.473
0.22985,3.4732
0.23005,3.4734
0.23025,3.4736
0.23045,3.4738
0.23065,3.474
0.23085,3.4742
0.23105,3.4744
0.23125,3.4746
0.23145,3.4748
0.23165,3.475
0.23185,3.4751
0.23205,3.4754
0.23225,3.4755
0.23245,3.4758
0.23265,3.4759
0.23285,3.4761
0.23305,3.4763
0.23325,3.4765
0.23345,3.4767
0.23365,3.4769
0.23385,3.4771
0.23405,3.4772
0.23425,3.4775
0.23445,3.4776
0.23465,3.4778
0.23485,3.478
0.23505,3.4782
0.23525,3.4784
0.23545,3.4786
0.23565,3.4788
0.23585,3.4789
0.23605,3.4791
0.23625,3.4793
0.23645,3.4795
0.23665,3.4797
0.23685,3.4799
0.23705,3.4801
0.23725,3.4802
0.23745,3.4804
0.23765,3.4806
0.23785,3.4808
0.23805,3.481
0.23825,3.4811
0.23845,3.4813
0.23865,3.4815
0.23885,3.4817
0.23905,3.4819
0.23925,3.482
0.23945,3.4822
0.23965,3.4824
0.23985,3.4826
0.24005,3.4827
0.24025,3.4829
0.24045,3.4831
0.24065,3.4833
0.24085,3.4835
0.24105,3.4836
0.24125,3.4838
0.24145,3.484
0.24165,3.4842
0.24185,3.4844
0.24205,3.4845
0.24225,3.4847
0.24245,3.4849
0.24265,3.4851
0.24285,3.4852
0.24305,3.4854
0.24325,3.4856
0.24345,3.4858
0.24365,3.486
0.24385,3.4861
0.24405,3.4863
0.24425,3.4865
0.24445,3.4866
0.24465,3.4868
0.24485,3.487
0.24505,3.4872
0.24525,3.4873
0.24545,3.4875
0.24565,3.4877
0.24585,3.4878
0.24605,3.488
0.24625,3.4882
0.24645,3.4883
0.24665,3.4885
0.24685,3.4887
0.24705,3.4888
0.24725,3.489
0.24745,3.4892
0.24765,3.4894
0.24785,3.4895
0.24805,3.4897
0.24825,3.4899
0.24845,3.49
0.24865,3.4902
0.24885,3.4904
0.24905,3.4905
0.24925,3.4907
0.24945,3.4909
0.24965,3.491
0.24985,3.4912
0.25005,3.4913
0.25025,3.4915
0.25045,3.4917
0.25065,3.4919
0.25085,3.492
0.25105,3.4922
0.25125,3.4923
0.25145,3.4925
0.25165,3.4927
0.25185,3.4928
0.25205,3.493
0.25225,3.4931
0.25245,3.4933
0.25265,3.4935
0.25285,3.4936
0.25305,3.4938
0.25325,3.494
0.25345,3.4942
0.25365,3.4943
0.25385,3.4944
0.25405,3.4946
0.25425,3.4948
0.25445,3.4949
0.25465,3.4951
0.25485,3.4953
0.25505,3.4954
0.25525,3.4956
0.25545,3.4957
0.25565,3.4959
0.25585,3.496
0.25605,3.4962
0.25625,3.4964
0.25645,3.4965
0.25665,3.4966
0.25685,3.4968
0.25705,3.497
0.25725,3.4971
0.25745,3.4973
0.25765,3.4974
0.25785,3.4976
0.25805,3.4978
0.25825,3.4979
0.25845,3.498
0.25865,3.4982
0.25885,3.4984
0.25905,3.4985
0.25925,3.4987
0.25945,3.4988
0.25965,3.499
0.25985,3.4991
0.26005,3.4993
0.26025,3.4995
0.26045,3.4996
0.26065,3.4998
0.26085,3.4999
0.26105,3.5001
0.26125,3.5002
0.26145,3.5004
0.26165,3.5005
0.26185,3.5007
0.26205,3.5008
0.26225,3.501
0.26245,3.5011
0.26265,3.5013
0.26285,3.5015
0.26305,3.5016
0.26325,3.5017
0.26345,3.5019
0.26365,3.502
0.26385,3.5022
0.26405,3.5023
0.26425,3.5025
0.26445,3.5026
0.26465,3.5028
0.26485,3.5029
0.26505,3.503
0.26525,3.5032
0.26545,3.5034
0.26565,3.5035
0.26585,3.5036
0.26605,3.5038
0.26625,3.5039
0.26645,3.5041
0.26665,3.5042
0.26685,3.5044
0.26705,3.5045
0.26725,3.5047
0.26745,3.5048
0.26765,3.5049
0.26785,3.5051
0.26805,3.5052
0.26825,3.5054
0.26845,3.5055
0.26865,3.5057
0.26885,3.5058
0.26905,3.506
0.26925,3.5061
0.26945,3.5062
0.26965,3.5064
0.26985,3.5066
0.27005,3.5067
0.27025,3.5068
0.27045,3.507
0.27065,3.5071
0.27085,3.5073
0.27105,3.5074
0.27125,3.5075
0.27145,3.5077
0.27165,3.5078
0.27185,3.508
0.27205,3.5081
0.27225,3.5082
0.27245,3.5084
0.27265,3.5085
0.27285,3.5087
0.27305,3.5088
0.27325,3.5089
0.27345,3.5091
0.27365,3.5092
0.27385,3.5094
0.27405,3.5095
0.27425,3.5097
0.27445,3.5098
0.27465,3.51
0.27485,3.51
0.27506,3.5102
0.27526,3.5104
0.27546,3.5105
0.27566,3.5107
0.27586,3.5108
0.27606,3.5109
0.27626,3.5111
0.27646,3.5112
0.27666,3.5113
0.27686,3.5115
0.27706,3.5116
0.27726,3.5117
0.27746,3.5119
0.27766,3.512
0.27786,3.5121
0.27806,3.5123
0.27826,3.5125
0.27846,3.5126
0.27866,3.5127
0.27886,3.5129
0.27906,3.513
0.27926,3.5131
0.27946,3.5132
0.27966,3.5134
0.27986,3.5135
0.28006,3.5136
0.28026,3.5138
0.28046,3.5139
0.28066,3.5141
0.28086,3.5142
